Matriks Badko,Sebaran Badko,Nama Ketum Cabang,Nomor Telfon,Stance Politik
ACEH,Banda Aceh,3.0,,
ACEH,Lhokseumawe - Aceh Utara,4.0,,
ACEH,Jantho/Aceh Besar,3.0,,
ACEH,Tapaktuan,2.0,,
ACEH,Langsa,4.0,,
ACEH,Meulaboh,3.0,,
ACEH,Sigli,3.0,,
ACEH,Takengon,2.0,,
ACEH,Bireun,3.0,,
ACEH,Blangpidie,2.0,,
ACEH,Kutacane,1.0,,
ACEH,Nagan Raya,1.0,,
SUMATERA UTARA,Medan,5.0,,
SUMATERA UTARA,Siantar Simalungun,1.0,,
SUMATERA UTARA,Kisaran Asahan,4.0,,
SUMATERA UTARA,Binjai,2.0,,
SUMATERA UTARA,Langkat,1.0,,
SUMATERA UTARA,Labuhanbatu Raya,3.0,,
SUMATERA UTARA,Padangsidimpuan,3.0,,
SUMATERA UTARA,Mandailing Natal,1.0,,
SUMATERA UTARA,Pers. Sibolga - Tapteng,0.0,,
SUMATERA UTARA,Pers. Deli Serdang,0.0,,
SUMATERA UTARA,Pers. Padang Lawas,0.0,,
SUMATERA BARAT,Padang,3.0,,
SUMATERA BARAT,Bukittinggi,2.0,,
SUMATERA BARAT,Padangpanjang,2.0,,
SUMATERA BARAT,Payakumbuh,2.0,,
SUMATERA BARAT,Solok,2.0,,
SUMATERA BARAT,Batusangkar,2.0,,
SUMATERA BARAT,Sijunjung,2.0,,
SUMATERA BARAT,Lubuk Sikaping,1.0,,
SUMATERA BARAT,Pariaman,2.0,,
SUMATERA BARAT,Pesisir Selatan,1.0,,
SUMATERA BARAT,Pasaman Barat,2.0,,
SUMATERA BARAT,Solok Selatan,1.0,,
SUMATERA BARAT,Dharmasraya,1.0,,
RIAU - KEPULAUAN RIAU,Pekanbaru,3.0,,
RIAU - KEPULAUAN RIAU,Batam,2.0,,
RIAU - KEPULAUAN RIAU,Tembilahan,2.0,,
RIAU - KEPULAUAN RIAU,Dumai,2.0,,
RIAU - KEPULAUAN RIAU,Rengat,1.0,,
RIAU - KEPULAUAN RIAU,Natuna,1.0,,
RIAU - KEPULAUAN RIAU,Tanjungpinang - Bintan,2.0,,
RIAU - KEPULAUAN RIAU,Rokan Hulu,1.0,,
RIAU - KEPULAUAN RIAU,Pers. Bengkalis,0.0,,
RIAU - KEPULAUAN RIAU,Pers. Rokan Hilir,0.0,,
RIAU - KEPULAUAN RIAU,Pers. Karimun,0.0,,
SUMATERA BAGIAN SELATAN,Palembang,3.0,,
SUMATERA BAGIAN SELATAN,Bandar Lampung,3.0,,
SUMATERA BAGIAN SELATAN,Metro,2.0,,
SUMATERA BAGIAN SELATAN,Bengkulu,2.0,,
SUMATERA BAGIAN SELATAN,Bangka Belitung,2.0,,
SUMATERA BAGIAN SELATAN,Curup,2.0,,
SUMATERA BAGIAN SELATAN,Kota Bumi,2.0,,
SUMATERA BAGIAN SELATAN,Lubuklinggau,1.0,,
SUMATERA BAGIAN SELATAN,Baturaja,3.0,,
SUMATERA BAGIAN SELATAN,Oku Timur,2.0,,
SUMATERA BAGIAN SELATAN,Pagar Alam,1.0,,
SUMATERA BAGIAN SELATAN,Pers. Pringsiwe,0.0,,
SUMATERA BAGIAN SELATAN,Pers. Kalianda,0.0,,
JAMBI,Jambi,3.0,,
JAMBI,Kerinci,2.0,,
JAMBI,Muara Bungo,2.0,,
JAMBI,Sarolangun,2.0,,
JAMBI,Tebo,2.0,,
JAMBI,Bangko,2.0,,
JAMBI,Batanghari,2.0,,
JAMBI,Tanjung Jabung Barat,2.0,,
JABODETABEKA - BANTEN,Jakarta Pusat - Utara,2.0,,
JABODETABEKA - BANTEN,Jakarta Raya,2.0,,
JABODETABEKA - BANTEN,Jakarta Timur,2.0,,
JABODETABEKA - BANTEN,Jakarta Selatan,2.0,,
JABODETABEKA - BANTEN,Jakarta Barat,2.0,,
JABODETABEKA - BANTEN,Bogor,3.0,,
JABODETABEKA - BANTEN,Kota Bogor,2.0,,
JABODETABEKA - BANTEN,Bekasi,3.0,,
JABODETABEKA - BANTEN,Depok,2.0,,
JABODETABEKA - BANTEN,Karawang,2.0,,
JABODETABEKA - BANTEN,Ciputat,4.0,,
JABODETABEKA - BANTEN,Serang,3.0,,
JABODETABEKA - BANTEN,Pandeglang,2.0,,
JABODETABEKA - BANTEN,Cilegon,2.0,,
JABODETABEKA - BANTEN,Lebak,2.0,,
JABODETABEKA - BANTEN,Tangerang,1.0,,
JAWA BARAT,Bandung,3.0,,
JAWA BARAT,Kabupaten Bandung,4.0,,
JAWA BARAT,Jatinangor - Sumedang,2.0,,
JAWA BARAT,Garut,1.0,,
JAWA BARAT,Cirebon,2.0,,
JAWA BARAT,Sukabumi,2.0,,
JAWA BARAT,Cianjur,2.0,,
JAWA BARAT,Subang,3.0,,
JAWA BARAT,Majalengka,2.0,,
JAWA BARAT,Ciamis,1.0,,
JAWA BARAT,Purwakarta,1.0,,
JAWA BARAT,Kuningan,2.0,,
